id|sub_cat_id|company_name_cn
003-011-223|003-011|樂聲
003-011-224|003-011|尼康
003-011-225|003-011|徠卡
003-011-226|003-011|賓得
003-011-227|003-011|奥林巴斯
003-011-228|003-011|哈蘇
003-011-229|003-011|理光
003-011-230|003-011|適馬
003-011-231|003-011|卡西歐
003-011-232|003-011|三星
003-011-233|003-011|小蟻
003-012-234|003-012|阿爾卡特
003-012-235|003-012|蘋果
003-012-236|003-012|華碩
003-012-237|003-012|BlackBerry
003-012-238|003-012|黑鯊
003-012-239|003-012|榮耀
003-012-240|003-012|華為
003-012-241|003-012|小米
003-012-242|003-012|諾基亞
003-012-243|003-012|歐珀
003-012-244|003-012|飛利浦
003-012-245|003-012|POCO
003-012-246|003-012|Realme
003-012-247|003-012|紅米
003-012-248|003-012|三星電子
003-012-249|003-012|索尼
003-012-250|003-012|Ulefone
003-012-251|003-012|維沃
003-012-252|003-012|Xero
003-013-253|003-013|中國移動
003-013-254|003-013|中國聯通
003-013-255|003-013|環電寬頻
003-013-256|003-013|香港寬頻
003-013-257|003-013|有線電視
003-013-258|003-013|香港電訊
003-013-259|003-013|和記 3
003-013-260|003-013|數碼通
004-014-261|004-014|1881 Heritage
004-014-262|004-014|銅鑼灣地帶
004-014-263|004-014|中港城
004-014-264|004-014|東薈城名店倉
004-014-265|004-014|太古城中心
004-014-266|004-014|荃新天地
004-014-267|004-014|D2 Place
004-014-268|004-014|圓方
004-014-269|004-014|Fashion Walk
004-014-270|004-014|家樂坊
004-014-271|004-014|雅蘭中心
004-014-272|004-014|海港城
004-014-273|004-014|荷里活商業中心
004-014-274|004-014|希慎廣場
004-014-275|004-014|國際金融中心商場
004-014-276|004-014|iSQUARE 國際廣場
004-014-277|004-014|K11購物藝術館
004-014-278|004-014|K11 MUSEA
004-014-279|004-014|東角 LAFORET
004-014-280|004-014|置地廣場
004-014-281|004-014|朗豪坊
004-014-282|004-014|利園
004-014-283|004-014|利舞臺 禮頓中心
004-014-284|004-014|利東街
